"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"a46e6a","FFT778  ","United States","1653417366","1653417366","-110.6424","37.3298","10226.04","FALSE","200.11","59.74","-4.55",NA,"10507.98",NA,"FALSE","0","0"
"abaceb","ASA1374 ","United States","1653417366","1653417366","-116.6359","45.9906","10668","FALSE","271.65","90.76","0",NA,"10850.88","3530","FALSE","0","1"
"a9037a","N680CS  ","United States","1653417363","1653417365","-109.4694","37.3694","12496.8","FALSE","228.12","76.97","-0.65",NA,"12702.54","6741","FALSE","0","0"
"505f15","CAI7QK  ","Slovakia","1653417366","1653417366","14.0716","46.9636","11277.6","FALSE","232.01","130.68","0",NA,"11551.92","7646","FALSE","0","2"
"ad3012","N949RD  ","United States","1653417366","1653417366","-122.3937","48.114","1043.94","FALSE","73.91","326.64","-1.63",NA,"1059.18","1200","FALSE","0","0"
"a94b51","","United States","1653417361","1653417361","-74.1641","40.7006",NA,"TRUE","4.63","95.62",NA,NA,NA,NA,"FALSE","0","0"
"3455da","VOE29CY ","Spain","1653417366","1653417366","2.1464","44.0709","11582.4","FALSE","248.17","53.34","0",NA,"11734.8","1000","FALSE","0","1"
"adda1e","AAL2297 ","United States","1653417366","1653417366","-79.4164","38.8009","10972.8","FALSE","205.29","257.11","0",NA,"11422.38","7440","FALSE","0","1"
"0d0aca","VIV2218 ","Mexico","1653417366","1653417366","-96.9782","24.8576","10355.58","FALSE","221.42","298.29","0",NA,"10843.26",NA,"FALSE","0","4"
"a94b50","UAL2133 ","United States","1653417366","1653417366","-88.3463","38.8244","10668","FALSE","260.97","91.92","0",NA,"11056.62","2640","FALSE","0","4"
"c02e9b","JZA987  ","Canada","1653417366","1653417366","-79.3334","43.2905","3764.28","FALSE","159.44","312.91","-9.1",NA,"3870.96","2740","FALSE","0","1"
"0d0acb","TAO7955 ","Mexico","1653417365","1653417365","-86.6203","20.9911","1828.8","FALSE","90.86","69.1","3.9",NA,"1889.76",NA,"FALSE","0","1"
"0d0acf","SLI2413 ","Mexico","1653417366","1653417366","-98.0071","20.1624","7315.2","FALSE","192.01","229.78","-0.33",NA,"7734.3",NA,"FALSE","0","0"
"a69b92","ASA757  ","United States","1653417366","1653417366","-121.1627","46.388","8694.42","FALSE","261.43","124.66","7.15",NA,"8892.54","5202","FALSE","0","0"
"a1c71a","N21302  ","United States","1653417292","1653417292","-117.7625","34.0903","426.72","FALSE","39.53","288.2","-3.58",NA,"472.44",NA,"FALSE","0","0"
"a94b4d","UAL2492 ","United States","1653417366","1653417366","-92.1537","41.7235","9753.6","FALSE","211.92","264.43","0.33",NA,"10027.92",NA,"FALSE","0","4"
"a127d3","N1738S  ","United States","1653417366","1653417366","-111.7505","33.1376","1531.62","FALSE","43.29","200.16","1.3",NA,"1539.24",NA,"FALSE","0","0"
"a96577","DAL357  ","United States","1653417366","1653417366","-79.7376","37.4442","10972.8","FALSE","216.28","227.51","0",NA,"11445.24","5564","TRUE","0","5"
"471ee0","WZZ1894 ","Hungary","1653417366","1653417366","26.7397","45.1645","11582.4","FALSE","203.81","313.16","0",NA,"11849.1","5373","FALSE","0","0"
"0d0ae8","SLI633  ","Mexico","1653417366","1653417366","-98.6905","29.0162","7117.08","FALSE","199.94","198.3","20.48",NA,"7414.26",NA,"FALSE","0","0"
"471ee2","WZZ1142 ","Hungary","1653417366","1653417366","1.1727","52.1084","4876.8","FALSE","161.72","289.13","-2.93",NA,"4869.18","3563","FALSE","0","0"
"accd69","DAL904  ","United States","1653417356","1653417356","-93.5188","39.2852","8839.2","FALSE","241.7","114.66","0",NA,"9105.9",NA,"FALSE","0","0"
"c02e8f","JZA999  ","Canada","1653417366","1653417366","-77.1185","43.0625","10972.8","FALSE","197.04","240.09","-0.33",NA,"11277.6","6515","FALSE","0","1"
"ab649a","DAL351  ","United States","1653417361","1653417366","-107.6083","39.1064","10363.2","FALSE","235.22","247.36","0",NA,"10454.64","7141","FALSE","0","0"
"aa8c9a","BOE003  ","United States","1653417357","1653417357","-119.0817","29.9668","8465.82","FALSE","271.64","14.59","0.65",NA,"8915.4",NA,"FALSE","0","0"
"a22db8","N24AT   ","United States","1653417366","1653417366","-87.7099","42.1166","746.76","FALSE","80.38","144.38","0",NA,"792.48",NA,"FALSE","0","0"
"440248","EJU52MA ","Austria","1653417366","1653417366","10.6539","52.5229","9212.58","FALSE","224.17","84.87","-4.88",NA,"9296.4","2235","FALSE","0","4"
"3455d9","VOE22MD ","Spain","1653417366","1653417366","10.2882","39.6951","11590.02","FALSE","212.42","305.54","-0.33",NA,"11978.64",NA,"FALSE","0","1"
"3c65c3","DLH8EM  ","Germany","1653417366","1653417366","9.6304","50.7335","4823.46","FALSE","166.29","186.75","-7.48",NA,"4884.42","3524","FALSE","0","4"
"a02a1b","N11CQ   ","United States","1653417348","1653417348","-93.1462","45.3251","243.84","FALSE","24.4","312.44","-9.1",NA,"304.8",NA,"FALSE","0","2"
"3c65c1","DLH4H   ","Germany","1653417366","1653417366","8.5445","50.0445",NA,"TRUE","9.77","90",NA,NA,NA,"3402","FALSE","0","1"
"0d0af1","VIV281  ","Mexico",NA,"1653417366",NA,NA,NA,"FALSE","227.74","300.1","0",NA,NA,NA,"FALSE","0","0"
"a8455d","N632CA  ","United States","1653417366","1653417366","-82.5896","27.4256","152.4","FALSE","60.05","133.26","-2.6",NA,"167.64","1377","FALSE","0","2"
"a72590","N56LE   ","United States",NA,"1653417366",NA,NA,NA,"FALSE","99.31","84.05","-1.3",NA,NA,NA,"FALSE","0","0"
"44023f","EJU793E ","Austria","1653417078","1653417078","2.3553","48.7294",NA,"TRUE","9.26","348.75",NA,NA,NA,"1000","FALSE","0","0"
